系统编码,物料名称,规格,参数1,参数2,参数3,参数4,单位名称,1-3个月,3-6个月,6-12个月,12个月以上,单价
2530-047,H级丝包铝线,SBELB-0.3/3.15*5.3/3.45*5.6,3.15,5.3,3.45,5.6,kg,0,0,0,30,19.547009
2530-048,H级聚酰亚胺丝包铝扁线,SBELB-0.4  9*3.35/9.4*3.7,9,3.35,9.4,3.7,kg,21,0,0,0,29.521368
2530-049,H级聚酰亚胺丝包铝扁线,SBELB-0.4  8*3.35/8.4*3.7,8,3.35,8.4,3.7,kg,15,0,0,0,31.25641
2530-050,H级聚酰亚胺丝包铝扁线,SBELB-0.4  9.5*2/9.9*2.4,9.5,2,9.9,2.4,kg,0,0,0,52.5,31.25641
2530-051,H级聚酰亚胺双玻璃丝包铝扁线,SBELB-0.4  2.65*12.5/3.05*12.9,2.65,12.5,3.05,12.9,kg,3,3,79.5,0,35.433628
2530-053,H级聚酰亚胺丝包铝扁线,SBELB-0.4  9.5*3.55/9.9*3.95,9.5,3.55,9.9,3.95,kg,29,0,6,0,31.612069
2530-054,H级聚酰亚胺双玻璃丝包铝线,SBELB-0.4 3.15*14/3.55*14.4,3.15,14,3.55,14.4,kg,0,0,0,39,31.538462
2530-056,H级丝包铝扁线,SBELB-0.3/3.15*10.0/3.45,3.15,10,3.45,,kg,0,0,0,9.5,17.504274
2530-058,烧结铝线,6.5*20烧结铝线   绝缘厚度0.2mm,6.5,20,6.7,20.2,kg,0,0,0,72,28.230769
2530-059,H级聚酰亚胺丝包铝扁线,SBELB-0.4  3.15*14/3.55*14.4,3.15,14,3.55,14.4,kg,132.1,0,0,409.4,30.827586
2530-062,H级聚酰亚胺丝包铝线,SBELB-0.4/3.75*10/4.15*10.4,3.75,10,4.15,10.4,kg,0,0,0,45.5,29.119658
2530-064,立绕烧结铝线 H级,3.5*20/3.7*20.2mm,3.5,20,3.7,20.2,kg,0,0,0,146.9,26.974359
2530-065,H级聚酰亚胺丝包铝线,SBELB-3.55*12.5/3.95*12.9,3.55,12.5,3.95,12.9,kg,0,0,60,0,32.649573
2530-066,H级聚酰亚胺丝包铝线,SBELB-3.55*7.1/3.95*7.5,3.55,7.1,3.95,7.5,kg,0,59,0,0,30.452991
2530-067,H级聚酰亚胺丝包铝线,SBELB-2*7.5/2.4*7.9,2,7.5,2.4,7.9,kg,0,0,29,0,32.692308
2530-068,H级聚酰亚胺丝包铝线,SBELB-0.4/3.55*11.2/3.95*11.6,3.55,11.2,3.95,11.6,kg,0,0,0,21,28.871795
2530-069,H级丝包铝线,3.75*10/4.05*10.3,3.75,10,4.05,10.3,kg,47,0,0,2.2,19.452991
2530-072,H级丝包铝扁线,2.24*7.1/2.54*7.4,2.24,7.1,2.54,7.4,kg,0,0,0,6,21.008621
2530-073,200度聚酰亚胺烧结丝包铝线,3.15*9.5/3.55*9.9,3.15,9.5,3.55,9.9,kg,0,0,0,85,34.957265
2530-074,H级聚酰亚胺丝包铝线,SBELB-0.4/ 5.3*8/5.7*8.4,5.3,8,5.7,8.4,kg,0,0,0,69.5,27.384615
2530-076,H级聚酰亚胺丝包铝线,SBELB-0.4/ 3.55*10/3.95*10.4,3.55,10,3.95,10.4,kg,0,0,0,46,27.384615
2530-080,200度双玻璃丝包聚酰亚胺-氟46复合薄膜烧结铝线,2.5*9/2.9*9.4,2.5,9,2.9,9.4,kg,75.3,40.27,0,0,37.327434
2530-081,200度聚酰亚胺烧结丝包铝线,3.35*11.2/3.75*11.6,3.35,11.2,3.75,11.6,kg,0,0,33,0,35.213675
2530-082,聚酰亚胺丝包铝线,3.35*11.8/3.75*12.2,3.35,11.8,3.75,12.2,kg,19,0,0,0,35.336283
2530-083,H级聚酰亚胺丝包铝线 .,SBELB-0.4/ 2.24*11.2/2.64*11.6,2.24,11.2,2.64,11.6,kg,0,0,0,34,29.74359
2530-084,H级丝包铝扁线,SBELB-0.3/180 1.6*5/1.9*5.3,1.6,5,1.9,5.3,kg,48,0,0,0,33.59292
2530-085,200度双玻璃丝包聚酰亚胺-氟46复合薄膜烧结铝线,2.5*8/2.9*8.4,2.5,8,2.9,8.4,kg,123.8,10,0,0,37.221239
2530-086,H级聚酰亚胺丝包铝线,SBELB-0.4/2.24*5.6/2.64*6,2.24,5.6,2.64,6,kg,0,0,0,38,30.376068
2530-087,H级丝包铝线,4*7.5/4.3*7.8,4,7.5,4.3,7.8,kg,0,15,0,1252.1,19.299145
2530-089,200度双玻璃丝包聚酰亚胺-氟46复合薄膜烧结铝线,3.35*9/3.75*9.4,3.35,9,3.75,9.4,kg,48,100.17,0,36,37.39823
2530-090,H级丝包铝线,SBELB-0.3/3.35*11.2/3.65*11.5,3.35,11.2,3.65,11.5,kg,0,0,0,51,20.410256
2530-096,聚酰亚胺丝包铝线,8*2.0/8.4*2.64,8,2,8.4,2.64,kg,0,0,0,8,32.512821
2530-098,H级聚酰亚胺烧结丝包铝线,SBELB-0.4/3.0*9/3.4*9.4,3,9,3.4,9.4,kg,0,0,0,177.62,28.478632
2530-099,200度聚酰亚胺烧结丝包铝线,2.8*11.8/3.2*12.2,2.8,11.8,3.2,12.2,kg,0,0,0,53.59,33.598291
2530-100,200度双玻璃丝包聚酰亚胺-氟46复合薄膜烧结铝线,SBELB-0.4  3.75*11.2/4.15*11.6,3.75,11.2,4.15,11.6,kg,1596.73,50,0,0,30.946903
2530-101,H级丝包铝线,SBELB-0.3/2.24*11.2/2.54,2.24,11.2,2.54,,kg,0,0,0,72.1,20.854701
2530-102,200度聚酰亚胺烧结丝包铝线,SBELB-0.4/3.0*11.2/3.4*11.6,3,11.2,3.4,11.6,kg,0,0,50.5,0,33.230769
2530-105,200度双玻璃丝包聚酰亚胺-氟46复合薄膜烧结铝线,SBELB-0.4  3.75*9.5/4.15*9.9,3.75,9.5,4.15,9.9,kg,652.62,0,0,0,35.946903
2530-107,200度聚酰亚胺烧结铝线,SBELB-0.4  2.8*6/3.2*6.4,2.8,6,3.2,6.4,kg,0,0,0,100,27.786325
2530-108,200度聚酰亚胺烧结铝线,SBELB-0.4  3*6/3.4*6.4,3,6,3.4,6.4,kg,0,0,0,97,27.786325
2530-110,200度双玻璃丝包聚酰亚胺-氟46复合薄膜烧结铝线,SBELB-0.4  3.75*9/4.15*9.4,3.75,9,4.15,9.4,kg,575.9,0,0,0,38.053097
2530-111,H级丝包铝线,SBELB-0.3 3.55*8.5/3.85*8.8,3.55,8.5,3.85,8.8,kg,0,0,0,110.7,20.333333
2530-112,200度双玻璃丝包聚酰亚胺-氟46复合薄膜烧结铝线,3.15*8/0.4,3.15,8,0.4,,kg,219.21,0,0,0,35.946903
2530-113,200度双玻璃丝包聚酰亚胺-氟46复合薄膜烧结铝线,2.65*10/3.05*10.4,2.65,10,3.05,10.4,kg,122.61,0,0,0,35.946903
2530-114,200度聚酰亚胺烧结丝包铝线,3.15*14/3.55*14.4,3.15,14,3.55,14.4,kg,0,0,0,38,33.273504
2530-115,200度双玻璃丝包聚酰亚胺-氟46复合薄膜烧结铝线,2.5*10.6,2.5,10.6,,,kg,52,0,0,0,33.612069
2530-120,200度双玻璃丝包聚酰亚胺-氟46复合薄膜烧结铝线,SBELB-0.4  3.35*8/3.75*8.4,3.35,8,3.75,8.4,kg,2,0,0,0,38.053097
2530-122,H级聚酰亚胺包丝包铝线,2.5*12.5,2.5,12.5,,,kg,0,122,146.3,0,35.619469
2530-123,H级聚酰亚胺包丝包铝线,3*9.5/3.4*9.9,3,9.5,3.4,9.9,kg,0,24,113.5,0,35.619469
2530-124,H级聚酰亚胺丝包铝线,SBELB-0.4  2.65*8.5/3.05*8.9,2.65,8.5,3.05,8.9,kg,94.4,0,0,0,35.477876
2530-129,200度双玻璃丝包聚酰亚胺-氟46复合薄膜烧结铝线,1.5*11.2/1.9*11.,1.5,11.2,1.9,11,kg,38,0,0,0,38.053097
2530-130,200度双玻璃丝包聚酰亚胺-氟46复合薄膜烧结铝线,1.8*6.7/2.2*7.1,1.8,6.7,2.2,7.1,kg,9,0,29.33,0,38.053097
2530-132,H级丝包铝线,2.24*6.7*0.3,2.24,6.7,,0.3,kg,31,0,0,0,24.743363
2530-144,200度双玻璃丝包聚酰亚胺-氟46复合薄膜烧结铝线,2.65*8/3.05*8.4,2.65,8,3.05,8.4,kg,161,0,0,0,37.548673
2530-146,200度双玻璃丝包聚酰亚胺-氟46复合薄膜烧结铝线,2.36*8.5/2.76*8.9,2.36,8.5,2.76,8.9,kg,161.89,0,0,0,41.345133
2530-148,200度双玻璃丝包聚酰亚胺-氟46复合薄膜烧结铝线,3.55*10.6/3.95*11,3.55,10.6,3.95,11,kg,129.04,0,0,0,39.460177
