系统编码,物料名称,规格,,,单位名称,1-3个月,3-6个月,6-12个月,12个月以上,单价
2500-058,铝箔,1.0*550mm,1,550,kg,116,0,0,0,16.061947
2500-059,铝箔,0.8*300mm,0.8,300,kg,105,0,0,0,15.690265
2500-061,铝箔,0.9*250mm,0.9,250,kg,218,0,0,0,16.309735
2500-062,铝箔,0.8*150mm,0.8,150,kg,48,0,0,0,15.741379
2500-065,铝箔,1.5*430mm,1.5,430,kg,0,0,0,126,17
2500-066,铝箔,0.6*500mm,0.6,500,kg,223,0,0,0,16.088496
2500-067,铝箔,0.5*120mm,0.5,120,kg,58,0,0,0,17.33333333
2500-069,铝箔,1.3*300mm,1.3,300,kg,0,160,0,0,15.862069
2500-071,铝箔,0.5*350mm,0.5,350,kg,0,0,124,0,15.551724
2500-072,铝箔,1.2*400mm,1.2,400,kg,0,0,0,96,15.149573
2500-073,铝箔,1.8*280mm,1.8,280,kg,0,0,0,87,17.452991
2500-075,铝箔,1.2*250mm,1.2,250,kg,15,0,74,0,15.663793
2500-079,铝箔,0.7*150mm,0.7,150,kg,0,0,0,68,15.179487
2500-080,铝箔,0.4*150mm,0.4,150,kg,9,0,0,0,17.017699
2500-082,铝箔,1.1*125mm,1.1,125,kg,0,0,0,120,16.461538
2500-083,铝箔,1.1*200mm,1.1,200,kg,196,0,0,0,15.752212
2500-095,铝箔,1.8*250mm,1.8,250,kg,49,151,0,0,16.548673
2500-099,铝箔,1*300mm,1,300,kg,231,0,0,0,15.716814
2500-100,铝箔,0.6*450mm,0.6,450,kg,0,86,0,0,15.155172
2500-101,铝箔,1.6*430mm,1.6,430,kg,0,0,0,56,15.775862
2500-107,铝箔,0.4*200mm,0.4,200,kg,30,246.5,0,0,16.097345
2500-123,铝箔,1.1*300mm,1.1,300,kg,414,0,0,0,16.19469
2500-132,铝箔,0.4*350mm,0.4,350,kg,164,0,0,0,16.176991
2500-133,铝箔,1*350mm,1,350,kg,586,0,0,0,16.061947
2500-135,铝箔,2*160mm,2,160,kg,260,0,0,0,16.061947
2500-137,铝箔,0.6*300mm,0.6,300,kg,96,0,0,0,15.884956
2500-142,铝箔,1*450mm,1,450,kg,0,0,0,118,13.948718
2500-143,铝箔,0.8*500mm,0.8,500,kg,0,0,0,118,15.310345
2500-145,铝箔,0.8*550mm,0.8,550,kg,122,0,0,0,16.168142
2500-146,铝箔,1.4*300mm,1.4,300,kg,0,109,0,0,15.267241
2500-150,铝箔,0.8*200mm,0.8,200,kg,0,0,0,25,16.461538
2500-152,铝箔,0.9*800mm,0.9,800,kg,0,0,0,74,16.068376
2500-153,铝箔,0.5*200mm,0.5,200,kg,217,0,0,0,15.884956
2500-154,鋁箔,1.2*200mm,1.2,200,kg,195,0,0,0,16.247788
2500-156,铝箔,0.7*450mm,0.7,450,kg,0,284,0,0,15.267241
2500-158,铝箔,0.9*450mm,0.9,450,kg,0,0,0,196,16.474138
2500-160,铝箔,0.5*400mm,0.5,400,kg,0,0,179,0,16.551724
2500-164,铝箔,1.6*300mm,1.6,300,kg,0,113,0,0,14.827586
2500-165,铝箔,0.5*450mm,0.5,450,kg,0,0,0,38,15.094017
2500-169,铝箔,1.1*150mm,1.1,150,kg,54,0,0,0,16.504425
2500-174,铝箔,1.5*450mm,1.5,450,kg,0,0,0,113,16.698276
2500-176,铝箔,0.5*150mm,0.5,150,kg,96,0,0,0,16.504425
2500-178,铝箔,1*490mm,1,490,kg,0,0,0,353.4,14.017094
2500-180,铝箔,1.1*350mm,1.1,350,kg,47,119,0,0,16.061947
2500-184,铝箔,0.8*280mm,0.8,280,kg,143,0,0,0,16.470085
2500-186,铝箔,1.3*350mm,1.3,350,kg,0,0,15,0,15.522124
2500-189,铝箔,1.2*350mm,1.2,350,kg,0,0,31,0,15.017094
2500-192,铝箔,1.2*450mm,1.2,450,kg,0,0,9,317,15.384615
2500-193,铝箔,0.8*220mm,0.8,220,kg,0,0,0,23.5,14.145299
2500-194,铝箔,0.8*900mm,0.8,900,kg,0,0,0,110,15.303419
2500-196,铝箔,1.4*900mm,1.4,900,kg,0,0,0,29,21.384615
2500-199,铝箔,1.3*600mm,1.3,600,kg,0,0,79,0,15.637931
2500-200,铝箔,0.7*500mm,0.7,500,kg,0,0,0,115.5,17.752137
2500-201,铝箔,1.1*180mm,1.1,180,kg,0,21,0,0,14.846154
2500-208,铝箔,0.8*400mm,0.8,400,kg,247,0,0,0,15.380531
2500-209,铝箔,0.3*450mm,0.3,450,kg,0,85,0,0,15.267241
2500-211,铝箔,0.6*400mm,0.6,400,kg,0,56,0,0,16.051724
2500-213,铝箔,0.8*235mm,0.8,235,kg,0,0,0,111,18.42735
2500-224,铝箔,0.8*600mm,0.8,600,kg,0,0,0,72,18.393162
2500-225,铝箔,0.7*530mm,0.7,530,kg,0,0,0,144,15.965812
2500-226,铝箔,1.4*350mm,1.4,350,kg,0,0,0,47,16.068376
2500-227,铝箔,1.1*900mm,1.1,900,kg,0,0,0,63,15.42735
2500-228,铝箔,0.6*900mm,0.6,900,kg,0,0,0,60,21.384615
2500-230,铝箔,0.6*145mm,0.6,145,kg,0,0,0,6.5,#N/A
2500-231,铝箔,0.8*350mm,0.8,350,kg,0,0,223,0,15.80531
2500-232,铝箔,0.9*180mm,0.9,180,kg,0,0,42,111,16.786325
2500-234,铝箔,0.4*600mm,0.4,600,kg,0,0,0,30,16.34188
2500-236,铝箔,1.4*270mm,1.4,270,kg,0,0,0,36,14.940171
2500-237,铝箔,1.1*700mm,1.1,700,kg,0,0,0,110,15.128205
2500-238,铝箔,0.8*700mm,0.8,700,kg,0,0,0,42.5,15.128205
2500-239,铝箔,1.2*800mm,1.2,800,kg,0,0,0,336,16.880342
2500-240,铝箔,1.6*250mm,1.6,250,kg,57,233,0,0,15.884956
2500-242,铝箔,1.1*340mm,1.1,340,kg,133,0,0,0,14.743363
2500-245,铝箔,1.1*800mm,1.1,800,kg,0,0,0,90,17.350427
2500-247,铝箔,1.2*430mm,1.2,430,kg,0,0,0,87,17.435897
2500-248,铝箔,0.7*800mm,0.7,800,kg,0,0,0,69,17.91453
2500-249,铝箔,1.2*900mm,1.2,900,kg,0,0,0,70,15.706897
2500-250,铝箔,1.0*900mm,1,900,kg,0,0,0,62,15.706897
2500-252,铝箔,0.6*280mm,0.6,280,kg,0,0,0,57,18.307692
2500-255,铝箔,1.2*315mm,1.2,315,kg,0,0,0,165,16.461538
2500-258,铝箔,0.9*320mm,0.9,320,kg,0,0,25,0,16.982759
2500-261,铝箔,1.3*430mm,1.3,430,kg,0,0,0,298,14.982906
2500-263,铝箔,1.4*420mm,1.4,420,kg,0,0,0,175,16.068376
2500-264,铝箔,1.1*290mm,1.1,290,kg,0,0,0,27,19
2500-265,铝箔,1.4*320mm,1.4,320,kg,0,0,124,0,16.256637
2500-267,铝箔,1*325,1,325,kg,43,0,0,0,15.840708
2500-271,铝箔,0.5*65mm,0.5,65,kg,0,0,0,8,#N/A
2500-272,铝箔,1.2*270mm,1.2,270,kg,0,0,0,72,15.715517
2500-273,铝箔,0.9*530mm,0.9,530,kg,0,0,65,0,14.775862
2500-274,铝箔,1.0*100mm,1,100,kg,0,0,15,0,#N/A
2500-275,铝箔,1.1*220mm,1.1,220,kg,311,0,0,0,15.752212
2500-276,铝箔,0.5*280mm,0.5,280,kg,0,0,14,0,15.93
2500-277,铝箔,0.6*700mm,0.6,700,kg,0,0,60,0,15.956897
2500-279,铝箔,0.4*320mm,0.4,320,kg,208,0,0,0,16.40708
2500-280,铝箔,1.6*130mm,1.6,130,kg,14,0,0,0,#N/A
2500-282,铝箔,1.5*180mm,1.5,180,kg,9,0,0,0,#N/A
